GLOSSARY OF TERMS,
Acronym / Term,Definition
2.4GHz / 5GHz,Most networks use these frequencies to communicate
AFRINIC,Africa RIR
APNIC,Australlasia / Asia RIR
Application (OSI),Protocol for P2P comms
Application (TCP/IP),Represents data to the user / encoding and dialogue control
ARIN,North American RIR
ARP,Address Resolution Protocol
ASCII,American Standard Code for Information Interchange
Bandwidth,Medium to carry data
Bits,Binary Code
Bluetooth,Low-power / short-range wireless connection
Broadcast,A message with a specific IP address that is sent to all hosts except the source
Category 5e Cable,Most commonly used in LAN
Cellular Data,"If configured, transiitions from networks seemlessly"
Class A Addressing,Networks with more tha 16million hosts
Class B Addressing,Networks with approximately 65000 hosts
Class C Addressing,Networks with maximum 284 users
Clients,Device or software that requests services or data from server
Cloud Services,Offer services out of data centres
Coaxial Cable,Tubular cable with conductive shield and inner wire
Coaxial Terminal / Connection,Used for transmitting multiple signals simultaneously
Core Layer,Highspeed backbone with redundant connections. Responsible for large amount of data
Data Centres,Provide bandwidth
Data Link (OSI),Describes methods for echanging data frames between devices over common media
Default Gateway,Identifies the networking device the host uses to connect
DHCP,Dynamic Host Configuration
Distribution Layer,"A connection point for separate networks, which controls the flow of information between networks."
DNS,Domain Name System
DSCP,Differentiated Services Code Point
DSL,Digital Subscriber Line
DSL: Digital Subscriber Line,
Dual Stack,Devices that can run both IPv4 and IPv6 protocol simultaneously
Encapsulation,The process of adding to the frame to enable communication
Encoding,Converting messages into bits
End Devices,Interface for users
Ethernet,Most common wired protocol
Ethernet Frame,The technology used for LAN devices to access a network using the NIC
Fault Tolerance,If a device can access the internet multiple ways incase of a fault
FCS,Frame Check Sequence
Fiber Optic Cable,Glass or plastic with high bandwidth
Frames,Like envelopes for computers
FTP,File Transfer Protocol
GHz,Gigahertz measurement of frequency
GPS,"Global Position Syste,"
GSM,The Global System for Mobile Communications
Hexadecimal,Digits 0-9 and letters A-F
Hextet,16 digits 128 bits in length
HTTPHTTPS,Hypertext Transfer Protocol Secure
HUD,Heads-Up Display
IaaS,Infrastructure as a service (virtual computer storage)
IANA,Internet Assigned Numbers Authority
ICANN,The Internet Coropration for Assigned Names & Numbers
ICMP,Internet Controm Message Protocol
IEEE,The Institute of Electrical and Electronic Engineers
IETF,Internet Engineering Task Force
iMAP,Internet Message Acces Protocol
